stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
22209,209,Arlington Blvd & Cabot St,Buses head Northbound,38.55394,-121.784973,0
22210,210,Arlington Blvd & Cabot St,Buses head Southbound,38.553711,-121.784842,0
22211,211,Arlington Blvd & Shasta Drive,Buses head Southbound,38.553475,-121.781366,0
22212,212,Arlington Blvd & Shasta Drive,Buses head Northbound,38.553847,-121.782082,0
22216,216,Humboldt Ave & Imperial/Emerson Junior High,Buses head Eastbound,38.552756,-121.776013,0
22217,217,Humboldt Ave & Arthur St,Buses head Eastbound,38.552806,-121.771111,0
22220,220,Arthur St & North Adams St,Buses head Southbound,38.551606,-121.770508,0
22221,221,Arthur St & Alameda Ave,Buses head Southbound,38.547687,-121.77068,0
22223,223,Arlington Blvd & Westernesse/Emerson Junior High,Buses head Southbound,38.550279,-121.779268,0
22224,224,Arlington Blvd & Bucklebury Rd,Buses head Southbound,38.548774,-121.778798,0
22225,225,Russell Blvd & Arthur St,Buses head Westbound,38.546553,-121.771018,0
22226,226,Lake Blvd & Portage Bay,Buses head Northbound,38.548955,-121.788493,0
22227,227,Lake Blvd & Salem Ave,Buses head Northbound,38.550439,-121.787302,0
22228,228,Lake Blvd & Westlake Plaza,Buses head Northbound,38.553321,-121.78752,0
22229,229,Russell Blvd & Arlington Farm,Buses head Westbound,38.546797,-121.785855,0
22230,230,Sycamore Ln & Russell/Trader Joe's,Buses head Northbound,38.547509,-121.761669,0
22233,233,J St & Eighth St,Buses head Southbound,38.552042,-121.738811,0
22234,234,Fifth St & Pena Drive,Buses head Eastbound,38.552682,-121.715379,0
22235,235,Alhambra Drive & Arroyo Ave,Buses head Eastbound,38.557859,-121.699464,0
22236,236,Alhambra Drive & Atlantis / Carcia,Buses head Westbound,38.558043,-121.703456,0
22237,237,Fifth St & Spafford St,Buses head Eastbound,38.553424,-121.712444,0
22238,238,Fifth St & Spafford,Buses head Westbound,38.553332,-121.71357,0
22240,240,Hutchison Drive & Health Sciences Drive,Buses head Eastbound,38.537486,-121.763945,0
22242,242,Richards Blvd & Olive Drive,Buses head Northbound,38.540795,-121.73832,0
22243,243,Mace Blvd & Second St,Buses head Southbound,38.557751,-121.694301,0
22244,244,Mace Blvd & Second St,Buses head Northbound,38.556249,-121.693953,0
22245,245,Covell Blvd & Mace Blvd/Harper Junior High,Buses head Eastbound,38.564796,-121.70003,0
22249,249,Moore Blvd & Pole Line Rd,Buses head Eastbound,38.570257,-121.729186,0
22250,250,Moore Blvd & Pollock,Buses head Eastbound,38.564417,-121.719168,0
22254,254,Lillard & Arnold,Buses head Eastbound,38.543201,-121.714859,0
22255,255,Drummond & Albany,Buses head Northbound,38.545975,-121.713259,0
22256,256,Silo Terminal & Center Island,Buses head Westbound,38.539142,-121.753094,0
22257,257,Silo Terminal & Center Island,Buses head Eastbound,38.539346,-121.753079,0
22258,258,Silo Terminal & Haring Hall,Buses head Westbound,38.539329,-121.753685,0
22260,260,Pole Line & Donner,Buses head Northbound,38.566368,-121.730753,0
22261,261,Moore Blvd & Raphael,Buses head Eastbound,38.565016,-121.72346,0
22262,262,Second St. & Faraday Avenue,Buses head Westbound,38.551272,-121.705652,0
22269,269,Dairy Rd & La Rue Rd,Buses head Southbound,38.534458,-121.759012,0
22272,272,Memorial Union  & Main Island,Buses head Northbound,38.54386,-121.750044,0
22273,273,Memorial Union & Main Island,Buses head Southbound,38.543593,-121.749755,0
22274,274,Memorial Union & East Island,Buses head Southbound,38.543621,-121.749574,0
22280,280,Pole Line & Wahl Way,Buses head Southbound,38.555187,-121.727476,0
22281,281,East Eighth Street & Pole Line Road,Buses head Westbound,38.553432,-121.727635,0
22282,282,Second St. & Target,Buses head Westbound,38.553718,-121.69776,0
22283,283,Pena & Second St.,Buses head Northbound,38.55023,-121.7157,0
22284,284,Dairy Road & Tercero,Buses head Southbound,38.535963,-121.758987,0
22286,286,Hutchison & Sage / Ramble Apartments,Buses head Northbound,38.538658,-121.771469,0
22287,287,Hutchison & Sage / Ramble Apartments,Buses head Southbound,38.538515,-121.771806,0
22288,288,Sage Street & Jade Street / West Village Square - Drop Off Only,Buses head Northbound,38.541215,-121.771486,0
22289,289,Sage Street & Jade Street / Community College,Buses head Southbound,38.540823,-121.77171,0
22290,290,Alhambra Drive & Loyola Drive,Buses head Westbound,38.560161,-121.708768,0
22291,291,Alhambra Drive & Loyola Drive,Buses head Eastbound,38.560076,-121.709008,0
22292,292,Sycamore & Eighth,Buses head Southbound,38.550607,-121.764219,0
22293,293,Alhambra & Fifth/Verona,Buses head Eastbound,38.558171,-121.706264,0
22294,294,Moore Blvd & Rockwell,Buses head Eastbound,38.568603,-121.726649,0
22295,295,Drew Ave & Cowell Blvd,Buses head Northbound,38.540193,-121.726975,0
22296,296,Drew & Research Park Drive,Buses head Northbound,38.543596,-121.727352,0
